model,|I|,seed,D_c,alpha,|V|,obj,time,gap,SEC,sep,nodes,nodesL
 cut,75,5,5,1.1,2,2.06E+08,4.35,0,392,0.0318513,35,0
 cut,75,10,5,1.1,2,2.08E+08,2.27,0,214,0.0166011,11,0
 cut,75,25,5,1.1,2,2.09E+08,5.25,0,420,0.0782022,98,0
 cut,75,42,5,1.1,2,1.95E+08,8.96,0,1072,0.123736,109,0
 cut,75,98,5,1.1,2,2.21E+08,3.67,0,319,0.0402238,35,0
 cut,75,5,10,1.1,2,2.06E+08,5.8,0,797,0.0823531,75,0
 cut,75,10,10,1.1,2,2.08E+08,3.55,0,113,0.0240197,38,0
 cut,75,25,10,1.1,2,2.09E+08,6.88,0,316,0.156476,220,0
 cut,75,42,10,1.1,2,1.95E+08,24.19,0,2408,0.513009,566,0
 cut,75,98,10,1.1,2,2.21E+08,4.29,0,270,0.0599546,65,0
 cut,75,5,20,1.1,2,2.05E+08,14.65,0,1140,0.273248,398,0
 cut,75,10,20,1.1,2,2.08E+08,12.99,0,238,0.51413,875,0
 cut,75,25,20,1.1,2,2.09E+08,40.78,0,303,2.8099,4430,0
 cut,75,42,20,1.1,2,1.95E+08,1212.17,0,13211,8.50738,9507,0
 cut,75,98,20,1.1,2,2.20E+08,7.98,0,160,0.123801,137,0
 cut,75,5,25,1.1,2,2.05E+08,12.14,0,398,0.219617,352,0
 cut,75,10,25,1.1,2,2.07E+08,36.87,0,409,1.72272,2585,0
 cut,75,25,25,1.1,2,2.09E+08,23.37,0,217,1.00887,1547,0
 cut,75,42,25,1.1,2,1.95E+08,3519.36,0.0001084,15977,28.0236,25193,10644
 cut,75,98,25,1.1,2,2.20E+08,17.9,0,476,0.520886,642,0
 cut,75,5,40,1.1,2,2.05E+08,1170.64,0,2648,34.1065,40755,0
 cut,75,10,40,1.1,2,2.07E+08,3304.55,8.21E-05,544,173.895,127529,26999
 cut,75,25,40,1.1,2,2.08E+08,3310.04,0.000440518,2117,200.559,115775,87185
 cut,75,42,40,1.1,2,1.94E+08,3305.05,0.000524706,5221,80.3921,38800,28716
 cut,75,98,40,1.1,2,2.20E+08,3480.53,0.000168242,1238,207.072,135600,57853
 cut,75,5,5,1.1,5,2.06E+08,2.78,0,146,0.0188565,19,0
