model,|I|,seed,D_c,alpha,|V|,obj,time,gap,SEC,sep,nodes,nodesL
 cut,75,10,5,1.1,5,2.08E+08,2.73,0,204,0.0250773,13,0
 cut,75,25,5,1.1,5,2.09E+08,4.22,0,138,0.0337381,42,0
 cut,75,42,5,1.1,5,1.95E+08,10.67,0,898,0.324688,466,0
 cut,75,98,5,1.1,5,2.21E+08,2.62,0,142,0.0115852,7,0
 cut,75,5,10,1.1,5,2.06E+08,2.65,0,146,0.0142601,17,0
 cut,75,10,10,1.1,5,2.08E+08,6.11,0,184,0.174662,92,0
 cut,75,25,10,1.1,5,2.09E+08,6.17,0,158,0.0976288,124,0
 cut,75,42,10,1.1,5,1.95E+08,31.83,0,2913,0.843066,811,0
 cut,75,98,10,1.1,5,2.21E+08,5.2,0,209,0.0262735,23,0
 cut,75,5,20,1.1,5,2.05E+08,3.28,0,89,0.0226145,39,0
 cut,75,10,20,1.1,5,2.08E+08,9.22,0,129,0.177037,276,0
 cut,75,25,20,1.1,5,2.09E+08,22.95,0,269,1.21072,1980,0
 cut,75,42,20,1.1,5,1.95E+08,27.95,0,1401,0.789375,919,0
 cut,75,98,20,1.1,5,2.20E+08,6.8,0,236,0.0913079,105,0
 cut,75,5,25,1.1,5,2.05E+08,6.55,0,90,0.139637,135,0
 cut,75,10,25,1.1,5,2.07E+08,15.22,0,551,0.301298,326,0
 cut,75,25,25,1.1,5,2.09E+08,17.75,0,137,0.689746,1107,0
 cut,75,42,25,1.1,5,1.95E+08,236.75,0,5249,4.72619,6941,0
 cut,75,98,25,1.1,5,2.20E+08,13.64,0,280,0.349616,494,0
 cut,75,5,40,1.1,5,2.05E+08,25.98,0,165,0.736475,1021,0
 cut,75,10,40,1.1,5,2.07E+08,515.19,0,618,22.672,27127,0
 cut,75,25,40,1.1,5,2.08E+08,990.01,0,467,52.2065,75731,0
 cut,75,42,40,1.1,5,1.94E+08,3393.13,0.000223979,3088,114.715,72300,36638
 cut,75,98,40,1.1,5,2.20E+08,311.22,0,406,17.8501,21870,0
 flow,75,5,5,1.1,2,2.06E+08,10.28,0,0,0,228,0
 flow,75,10,5,1.1,2,2.08E+08,9.2,0,0,0,11,0
 flow,75,25,5,1.1,2,2.09E+08,3355.85,3.74E-05,0,0,761438,129269
 flow,75,42,5,1.1,2,1.95E+08,183.45,0,0,0,39373,0
 flow,75,98,5,1.1,2,2.21E+08,12.95,0,0,0,269,0
 flow,75,5,10,1.1,2,2.06E+08,32.79,0,0,0,7359,0
 flow,75,10,10,1.1,2,2.08E+08,8.77,0,0,0,301,0
 flow,75,25,10,1.1,2,2.09E+08,3354.21,0.000135272,0,0,444200,271885
 flow,75,42,10,1.1,2,1.95E+08,773.3,0,0,0,109674,0
 flow,75,98,10,1.1,2,2.21E+08,249.25,0,0,0,79995,0
 flow,75,5,20,1.1,2,2.05E+08,26.66,0,0,0,2064,0
 flow,75,10,20,1.1,2,2.08E+08,22.63,0,0,0,1385,0
 flow,75,25,20,1.1,2,2.09E+08,3296.04,0.000252805,0,0,111128,71289
 flow,75,42,20,1.1,2,1.95E+08,3237.06,0.000128566,0,0,115100,65668
 flow,75,98,20,1.1,2,2.20E+08,22.71,0,0,0,2485,0
 flow,75,5,25,1.1,2,2.05E+08,38.48,0,0,0,968,0
 flow,75,10,25,1.1,2,2.07E+08,458.04,0,0,0,18094,0
 flow,75,25,25,1.1,2,2.09E+08,3275.96,9.43E-05,0,0,96100,39163
 flow,75,42,25,1.1,2,1.95E+08,3359.04,0.000282112,0,0,56300,42223
 flow,75,98,25,1.1,2,2.20E+08,195.38,0,0,0,29155,0
 flow,75,5,40,1.1,2,2.05E+08,3421.38,0.000296428,0,0,46700,30728
 flow,75,10,40,1.1,2,2.07E+08,3387.82,0.000519139,0,0,41735,28399
 flow,75,25,40,1.1,2,2.08E+08,3414.84,0.000926559,0,0,47500,36554
 flow,75,42,40,1.1,2,1.94E+08,3427.82,0.000681392,0,0,30500,22000
 flow,75,98,40,1.1,2,2.20E+08,3432.2,0.000675487,0,0,36300,27326
 flow,75,5,5,1.1,5,2.06E+08,9.18,0,0,0,52,0
 flow,75,10,5,1.1,5,2.08E+08,9.7,0,0,0,52,0
 flow,75,25,5,1.1,5,2.09E+08,110.15,0,0,0,43906,0
 flow,75,42,5,1.1,5,1.95E+08,142.74,0,0,0,48807,0
 flow,75,98,5,1.1,5,2.21E+08,10.52,0,0,0,1423,0
 flow,75,5,10,1.1,5,2.06E+08,6.5,0,0,0,18,0
 flow,75,10,10,1.1,5,2.08E+08,10.36,0,0,0,460,0
 flow,75,25,10,1.1,5,2.09E+08,499.56,0,0,0,159869,0
 flow,75,42,10,1.1,5,1.95E+08,420.32,0,0,0,73680,0
 flow,75,98,10,1.1,5,2.21E+08,11.76,0,0,0,1238,0
 flow,75,5,20,1.1,5,2.05E+08,7.66,0,0,0,37,0
 flow,75,10,20,1.1,5,2.08E+08,12.64,0,0,0,442,0
 flow,75,25,20,1.1,5,2.09E+08,610.57,0,0,0,86587,0
 flow,75,42,20,1.1,5,1.95E+08,193.42,0,0,0,18038,0
 flow,75,98,20,1.1,5,2.20E+08,10.07,0,0,0,368,0
 flow,75,5,25,1.1,5,2.05E+08,11.59,0,0,0,131,0
 flow,75,10,25,1.1,5,2.07E+08,14.81,0,0,0,513,0
 flow,75,25,25,1.1,5,2.09E+08,540.03,0,0,0,54125,0
 flow,75,42,25,1.1,5,1.95E+08,444.84,0,0,0,30257,0
 flow,75,98,25,1.1,5,2.20E+08,341.9,0,0,0,100036,0
 flow,75,5,40,1.1,5,2.05E+08,60.97,0,0,0,2475,0
 flow,75,10,40,1.1,5,2.07E+08,3420.3,0.000133462,0,0,89435,35000
 flow,75,25,40,1.1,5,2.08E+08,3407.48,0.000482962,0,0,50726,36785
 flow,75,42,40,1.1,5,1.94E+08,3404.36,0.000577737,0,0,43441,33016
 flow,75,98,40,1.1,5,2.20E+08,3411.74,0.000203273,0,0,59569,31981
