model,|I|,seed,D_c,alpha,|V|,obj,time,gap,SEC,sep,nodes,nodesL
 cut,125,5,5,1.1,2,3.34E+08,24.21,0,1043,0.353993,181,0
 cut,125,10,5,1.1,2,3.35E+08,27.78,0,859,0.346295,106,0
 cut,125,25,5,1.1,2,3.70E+08,42.8,0,1780,1.02935,413,0
 cut,125,42,5,1.1,2,3.36E+08,153,0,5357,3.12129,1325,0
 cut,125,98,5,1.1,2,3.69E+08,25.33,0,899,0.296076,125,0
 cut,125,5,10,1.1,2,3.34E+08,45.99,0,1768,0.959786,385,0
 cut,125,10,10,1.1,2,3.35E+08,62.04,0,1701,0.685915,159,0
 cut,125,25,10,1.1,2,3.70E+08,86.91,0,3438,2.58597,1137,0
 cut,125,42,10,1.1,2,3.36E+08,273.16,0,6922,5.2046,2391,0
 cut,125,98,10,1.1,2,3.69E+08,60.12,0,2881,1.25543,522,0
 cut,125,5,20,1.1,2,3.34E+08,823.94,0,2691,31.797,19145,0
 cut,125,10,20,1.1,2,3.34E+08,3493.32,3.82E-05,8513,50.6175,26306,7757
 cut,125,25,20,1.1,2,3.70E+08,3337.62,6.46E-05,4635,163.334,57674,23976
 cut,125,42,20,1.1,2,3.35E+08,3265.37,0.000284243,8941,57.6884,16536,12504
 cut,125,98,20,1.1,2,3.69E+08,352.44,0,4057,11.088,6218,0
 cut,125,5,25,1.1,2,3.34E+08,3328.22,9.97E-05,3587,168.42,59418,30376
 cut,125,10,25,1.1,2,3.34E+08,3445.57,0.000554962,8740,60.2453,19048,15188
 cut,125,25,25,1.1,2,3.69E+08,3457.57,0.000121174,2951,213.268,67471,39735
 cut,125,42,25,1.1,2,3.35E+08,3367.49,0.000475347,12626,37.0622,11465,8384
 cut,125,98,25,1.1,2,3.68E+08,954.25,0,2218,37.6129,19929,0
 cut,125,5,40,1.1,2,3.33E+08,3287.45,0.00166212,5752,44.196,13756,9867
 cut,125,10,40,1.1,2,3.34E+08,3300.47,0.00145526,5440,50.8958,15260,10283
 cut,125,25,40,1.1,2,3.69E+08,3265,0.00118554,4015,57.2849,16941,12737
 cut,125,42,40,1.1,2,3.34E+08,3187.48,0.00166066,13266,24.6287,7289,5305
 cut,125,98,40,1.1,2,3.68E+08,3249.35,0.00123621,6148,55.1755,16442,11976
 cut,125,5,5,1.1,5,3.34E+08,20.93,0,581,0.171143,61,0
 cut,125,10,5,1.1,5,3.35E+08,27.48,0,552,0.247774,117,0
 cut,125,25,5,1.1,5,3.70E+08,16.79,0,313,0.0673511,18,0
 cut,125,42,5,1.1,5,3.36E+08,130.63,0,4069,4.3841,1439,0
 cut,125,98,5,1.1,5,3.69E+08,14.74,0,235,0.0609629,23,0
 cut,125,5,10,1.1,5,3.34E+08,40.69,0,1011,0.639018,252,0
 cut,125,10,10,1.1,5,3.35E+08,41.5,0,767,0.684444,477,0
 cut,125,25,10,1.1,5,3.70E+08,31.93,0,322,0.41749,253,0
 cut,125,42,10,1.1,5,3.36E+08,197.78,0,5038,6.20762,1755,0
 cut,125,98,10,1.1,5,3.69E+08,19.63,0,253,0.114884,66,0
 cut,125,5,20,1.1,5,3.34E+08,139.14,0,762,4.59848,3074,0
 cut,125,10,20,1.1,5,3.34E+08,1120.27,0,1023,49.1669,31101,0
 cut,125,25,20,1.1,5,3.70E+08,122.58,0,494,5.49883,2862,0
 cut,125,42,20,1.1,5,3.35E+08,3396.86,0.000301164,11910,57.6303,18054,14865
 cut,125,98,20,1.1,5,3.69E+08,48.4,0,348,0.956826,691,0
 cut,125,5,25,1.1,5,3.33E+08,814.45,0,810,47.2314,27750,0
 cut,125,10,25,1.1,5,3.34E+08,3422.93,0.000155573,1532,205.786,78600,44543
 cut,125,25,25,1.1,5,3.69E+08,411.02,0,779,21.5098,13597,0
 cut,125,42,25,1.1,5,3.35E+08,3375.45,0.000411646,13678,41.9968,13649,10256
 cut,125,98,25,1.1,5,3.68E+08,151.12,0,334,8.28539,4756,0
 cut,125,5,40,1.1,5,3.33E+08,3429,0.00074955,1634,108.146,39000,30085
 cut,125,10,40,1.1,5,3.33E+08,3397.52,0.000779786,1245,145.972,50100,39592
 cut,125,25,40,1.1,5,3.68E+08,3402.96,0.000430172,801,201.243,73700,59013
 cut,125,42,40,1.1,5,3.34E+08,3399.52,0.00114148,7109,33.5807,12248,8058
 cut,125,98,40,1.1,5,3.68E+08,3396.51,0.000480536,887,224.598,75921,61778
 flow,125,5,5,1.1,2,3.34E+08,3388.62,0.000260786,0,0,384100,362083
 flow,125,10,5,1.1,2,3.35E+08,214.38,0,0,0,33883,0
 flow,125,25,5,1.1,2,3.70E+08,3434.04,0.000266702,0,0,201500,180837
