model,|I|,seed,D_c,alpha,|V|,obj,time,gap,SEC,sep,nodes,nodesL
 flow,125,42,5,1.1,2,3.36E+08,3422,0.000195835,0,0,138400,119391
 flow,125,98,5,1.1,2,3.69E+08,3454.21,5.80E-06,0,0,487914,15364
 flow,125,5,10,1.1,2,3.34E+08,3461.12,0.00025871,0,0,309200,243946
 flow,125,10,10,1.1,2,3.35E+08,2704.1,0,0,0,176072,0
 flow,125,25,10,1.1,2,3.70E+08,3465.64,0.000219158,0,0,119000,102320
 flow,125,42,10,1.1,2,3.36E+08,3417.48,0.000159166,0,0,86703,70117
 flow,125,98,10,1.1,2,3.69E+08,3401.56,5.21E-05,0,0,401200,206572
 flow,125,5,20,1.1,2,3.34E+08,3554.71,0.000365342,0,0,64201,58151
 flow,125,10,20,1.1,2,3.34E+08,3576.16,0.00029957,0,0,31639,25404
 flow,125,25,20,1.1,2,3.70E+08,3574.34,0.000322469,0,0,66000,58720
 flow,125,42,20,1.1,2,3.35E+08,3579.54,0.00038344,0,0,24660,20462
 flow,125,98,20,1.1,2,3.69E+08,3579.1,5.00E-05,0,0,251784,141299
 flow,125,5,25,1.1,2,3.34E+08,3578.29,0.000429004,0,0,44700,40630
 flow,125,10,25,1.1,2,3.34E+08,3578.88,0.000664863,0,0,16771,13194
 flow,125,25,25,1.1,2,3.69E+08,3576.64,0.000409754,0,0,37229,30259
 flow,125,42,25,1.1,2,3.35E+08,3577.38,0.000463151,0,0,18200,14354
 flow,125,98,25,1.1,2,3.68E+08,3576.57,0.000132762,0,0,41726,30405
 flow,125,5,40,1.1,2,3.33E+08,3569.67,0.00133756,0,0,12647,8467
 flow,125,10,40,1.1,2,3.34E+08,3576.29,0.00139567,0,0,10955,8194
 flow,125,25,40,1.1,2,3.69E+08,3579.72,0.00117415,0,0,13200,10649
 flow,125,42,40,1.1,2,3.34E+08,3580,0.00120429,0,0,8061,5797
 flow,125,98,40,1.1,2,3.68E+08,3574.56,0.00101688,0,0,12308,8304
 flow,125,5,5,1.1,5,3.34E+08,3572.78,0.000182975,0,0,531500,457191
 flow,125,10,5,1.1,5,3.35E+08,296.08,0,0,0,64691,0
 flow,125,25,5,1.1,5,3.70E+08,582.45,0,0,0,144506,0
 flow,125,42,5,1.1,5,3.36E+08,3578.5,0.00017261,0,0,331200,268076
 flow,125,98,5,1.1,5,3.69E+08,38.46,0,0,0,929,0
 flow,125,5,10,1.1,5,3.34E+08,3025.47,0,0,0,381077,0
 flow,125,10,10,1.1,5,3.35E+08,1491.64,0,0,0,247801,0
 flow,125,25,10,1.1,5,3.70E+08,777.77,0,0,0,170480,0
 flow,125,42,10,1.1,5,3.36E+08,3572.13,0.000136836,0,0,271237,209993
 flow,125,98,10,1.1,5,3.69E+08,37.7,0,0,0,748,0
 flow,125,5,20,1.1,5,3.34E+08,3572.95,0.00028105,0,0,93600,84066
 flow,125,10,20,1.1,5,3.34E+08,3576.06,0.000142091,0,0,61721,51230
 flow,125,25,20,1.1,5,3.70E+08,3575.03,9.05E-05,0,0,156800,101513
 flow,125,42,20,1.1,5,3.35E+08,3575.85,0.00035229,0,0,31894,28083
 flow,125,98,20,1.1,5,3.69E+08,40.36,0,0,0,351,0
 flow,125,5,25,1.1,5,3.33E+08,3576.07,0.000377083,0,0,41919,33646
 flow,125,10,25,1.1,5,3.34E+08,3576.07,0.000489726,0,0,21145,15734
 flow,125,25,25,1.1,5,3.69E+08,3570.88,0.000157255,0,0,49353,35601
 flow,125,42,25,1.1,5,3.35E+08,3570.42,0.000429219,0,0,20480,16558
 flow,125,98,25,1.1,5,3.68E+08,1039.32,0,0,0,43045,0
 flow,125,5,40,1.1,5,3.33E+08,3566.03,0.00100773,0,0,18290,13693
 flow,125,10,40,1.1,5,3.33E+08,3573.57,0.000996366,0,0,12900,10480
 flow,125,25,40,1.1,5,3.68E+08,3572.17,0.000723535,0,0,16000,12530
 flow,125,42,40,1.1,5,3.34E+08,3572.41,0.00113829,0,0,11118,7749
 flow,125,98,40,1.1,5,3.68E+08,3569.69,0.000625368,0,0,22700,20231
