model,|I|,seed,D_c,alpha,|V|,obj,time,gap,SEC,sep,nodes,nodesL
 flow,50,98,20,1.1,2,1.49E+08,3.72,0,0,0,87,0
 flow,50,5,25,1.1,2,1.35E+08,8.47,0,0,0,389,0
 flow,50,10,25,1.1,2,1.46E+08,50.19,0,0,0,3893,0
 flow,50,25,25,1.1,2,1.28E+08,20.4,0,0,0,3262,0
 flow,50,42,25,1.1,2,1.22E+08,9.81,0,0,0,960,0
 flow,50,98,25,1.1,2,1.49E+08,5.48,0,0,0,135,0
 flow,50,5,40,1.1,2,1.35E+08,1556.3,0,0,0,96597,0
 flow,50,10,40,1.1,2,1.45E+08,543.1,0,0,0,56547,0
 flow,50,25,40,1.1,2,1.28E+08,513.8,0,0,0,54795,0
 flow,50,42,40,1.1,2,1.22E+08,179.4,0,0,0,12532,0
 flow,50,98,40,1.1,2,1.49E+08,1243.76,0,0,0,107280,0
 flow,50,5,5,1.1,5,1.35E+08,2.12,0,0,0,0,0
 flow,50,10,5,1.1,5,1.46E+08,2.1,0,0,0,0,0
 flow,50,25,5,1.1,5,1.28E+08,1.29,0,0,0,3,0
 flow,50,42,5,1.1,5,1.23E+08,1.89,0,0,0,0,0
 flow,50,98,5,1.1,5,1.49E+08,1.46,0,0,0,0,0
 flow,50,5,10,1.1,5,1.35E+08,4.07,0,0,0,166,0
 flow,50,10,10,1.1,5,1.46E+08,3.45,0,0,0,0,0
 flow,50,25,10,1.1,5,1.28E+08,1.48,0,0,0,0,0
 flow,50,42,10,1.1,5,1.23E+08,4.28,0,0,0,750,0
 flow,50,98,10,1.1,5,1.49E+08,1.15,0,0,0,0,0
 flow,50,5,20,1.1,5,1.35E+08,4.72,0,0,0,224,0
 flow,50,10,20,1.1,5,1.46E+08,3.2,0,0,0,2,0
 flow,50,25,20,1.1,5,1.28E+08,2.05,0,0,0,2,0
 flow,50,42,20,1.1,5,1.23E+08,3.63,0,0,0,356,0
 flow,50,98,20,1.1,5,1.49E+08,1.41,0,0,0,0,0
 flow,50,5,25,1.1,5,1.35E+08,5.24,0,0,0,119,0
 flow,50,10,25,1.1,5,1.45E+08,3.68,0,0,0,2,0
 flow,50,25,25,1.1,5,1.28E+08,2.47,0,0,0,34,0
 flow,50,42,25,1.1,5,1.22E+08,3.78,0,0,0,29,0
 flow,50,98,25,1.1,5,1.49E+08,2.09,0,0,0,0,0
 flow,50,5,40,1.1,5,1.35E+08,560.21,0,0,0,29048,0
 flow,50,10,40,1.1,5,1.45E+08,13.69,0,0,0,625,0
 flow,50,25,40,1.1,5,1.28E+08,7.32,0,0,0,365,0
 flow,50,42,40,1.1,5,1.22E+08,5.52,0,0,0,35,0
 flow,50,98,40,1.1,5,1.49E+08,4.87,0,0,0,90,0
