model,|I|,seed,D_c,alpha,|V|,obj,time,gap,SEC,sep,nodes,nodesL
 cut,50,5,5,1.1,2,1.35E+08,0.86,0,85,0.00699401,17,0
 cut,50,10,5,1.1,2,1.46E+08,0.33,0,124,0.00433421,0,0
 cut,50,25,5,1.1,2,1.28E+08,0.98,0,109,0.00976706,19,0
 cut,50,42,5,1.1,2,1.23E+08,1.01,0,349,0.0163176,22,0
 cut,50,98,5,1.1,2,1.49E+08,0.71,0,86,0.00627398,10,0
 cut,50,5,10,1.1,2,1.35E+08,1.16,0,95,0.0166514,42,0
 cut,50,10,10,1.1,2,1.46E+08,1.17,0,59,0.00789618,18,0
 cut,50,25,10,1.1,2,1.28E+08,1.1,0,104,0.0129511,33,0
 cut,50,42,10,1.1,2,1.23E+08,1.36,0,167,0.0212874,50,0
 cut,50,98,10,1.1,2,1.49E+08,0.74,0,83,0.00635695,8,0
 cut,50,5,20,1.1,2,1.35E+08,2.65,0,221,0.0443678,94,0
 cut,50,10,20,1.1,2,1.46E+08,2.5,0,81,0.031831,82,0
 cut,50,25,20,1.1,2,1.28E+08,3.06,0,142,0.0862932,240,0
 cut,50,42,20,1.1,2,1.23E+08,1.12,0,80,0.00844717,15,0
 cut,50,98,20,1.1,2,1.49E+08,1.43,0,80,0.0275097,65,0
 cut,50,5,25,1.1,2,1.35E+08,2.48,0,88,0.0253501,55,0
 cut,50,10,25,1.1,2,1.46E+08,8.1,0,256,0.379805,1092,0
 cut,50,25,25,1.1,2,1.28E+08,3.56,0,160,0.13828,489,0
 cut,50,42,25,1.1,2,1.22E+08,2.08,0,81,0.0496464,183,0
 cut,50,98,25,1.1,2,1.49E+08,2.78,0,125,0.0710464,223,0
 cut,50,5,40,1.1,2,1.35E+08,80.35,0,301,3.73832,10753,0
 cut,50,10,40,1.1,2,1.45E+08,35.64,0,421,1.73733,4604,0
 cut,50,25,40,1.1,2,1.28E+08,47.16,0,167,3.32189,9673,0
 cut,50,42,40,1.1,2,1.22E+08,23.87,0,293,0.824759,2730,0
 cut,50,98,40,1.1,2,1.49E+08,32.29,0,249,1.42972,4722,0
 cut,50,5,5,1.1,5,1.35E+08,0.79,0,71,0.00715446,14,0
 cut,50,10,5,1.1,5,1.46E+08,0.71,0,74,0.00368214,2,0
 cut,50,25,5,1.1,5,1.28E+08,0.67,0,42,0.00258946,3,0
 cut,50,42,5,1.1,5,1.23E+08,0.84,0,118,0.00730252,12,0
 cut,50,98,5,1.1,5,1.49E+08,0.6,0,21,0.00268888,3,0
 cut,50,5,10,1.1,5,1.35E+08,1.6,0,67,0.0155318,32,0
 cut,50,10,10,1.1,5,1.46E+08,0.7,0,67,0.0042572,2,0
 cut,50,25,10,1.1,5,1.28E+08,0.57,0,38,0.00233603,2,0
 cut,50,42,10,1.1,5,1.23E+08,1.01,0,111,0.0136824,33,0
 cut,50,98,10,1.1,5,1.49E+08,0.47,0,21,0.0018754,3,0
 cut,50,5,20,1.1,5,1.35E+08,1.78,0,98,0.0196292,43,0
 cut,50,10,20,1.1,5,1.46E+08,1.22,0,59,0.00619149,0,0
 cut,50,25,20,1.1,5,1.28E+08,0.69,0,34,0.00370026,4,0
 cut,50,42,20,1.1,5,1.23E+08,1.29,0,73,0.014802,48,0
 cut,50,98,20,1.1,5,1.49E+08,0.92,0,34,0.00389314,5,0
 cut,50,5,25,1.1,5,1.35E+08,2.46,0,68,0.038691,108,0
 cut,50,10,25,1.1,5,1.45E+08,1.5,0,55,0.00783372,5,0
 cut,50,25,25,1.1,5,1.28E+08,1.05,0,28,0.0112157,32,0
 cut,50,42,25,1.1,5,1.22E+08,1.54,0,11,0.00822234,14,0
 cut,50,98,25,1.1,5,1.49E+08,1.14,0,30,0.00594139,3,0
 cut,50,5,40,1.1,5,1.35E+08,45.85,0,309,2.14637,5948,0
 cut,50,10,40,1.1,5,1.45E+08,4.7,0,73,0.0935528,239,0
 cut,50,25,40,1.1,5,1.28E+08,2.86,0,45,0.0889978,366,0
 cut,50,42,40,1.1,5,1.22E+08,1.94,0,26,0.0165486,60,0
 cut,50,98,40,1.1,5,1.49E+08,3.46,0,56,0.0458,119,0
 flow,50,5,5,1.1,2,1.35E+08,2.28,0,0,0,0,0
 flow,50,10,5,1.1,2,1.46E+08,2.21,0,0,0,4,0
 flow,50,25,5,1.1,2,1.28E+08,5.68,0,0,0,899,0
 flow,50,42,5,1.1,2,1.23E+08,2.47,0,0,0,184,0
 flow,50,98,5,1.1,2,1.49E+08,2.39,0,0,0,241,0
 flow,50,5,10,1.1,2,1.35E+08,3.57,0,0,0,7,0
 flow,50,10,10,1.1,2,1.46E+08,2.75,0,0,0,20,0
 flow,50,25,10,1.1,2,1.28E+08,3.17,0,0,0,358,0
 flow,50,42,10,1.1,2,1.23E+08,6.06,0,0,0,1457,0
 flow,50,98,10,1.1,2,1.49E+08,1.98,0,0,0,27,0
 flow,50,5,20,1.1,2,1.35E+08,7.05,0,0,0,466,0
 flow,50,10,20,1.1,2,1.46E+08,6.22,0,0,0,100,0
 flow,50,25,20,1.1,2,1.28E+08,5.15,0,0,0,514,0
 flow,50,42,20,1.1,2,1.23E+08,4.33,0,0,0,221,0
