
 cut,150,5,5,1.100000,2,4.0553e+08,205.88,0,2183,0.479423,2350,0
 cut,150,10,5,1.100000,2,4.14885e+08,206.92,0,3499,0.771575,1487,0
 cut,150,25,5,1.100000,2,4.38029e+08,3569.6,3.56222e-06,5608,1.2888,57324,3200
 cut,150,42,5,1.100000,2,4.08922e+08,3514.32,1.61594e-05,13532,3.3223,23581,6860
 cut,150,98,5,1.100000,2,4.29577e+08,78.73,0,851,0.120741,1036,0
 cut,150,5,10,1.100000,2,4.0541e+08,429.81,0,2914,0.480083,5662,0
 cut,150,10,10,1.100000,2,4.14797e+08,253.46,0,3250,0.565226,2562,0
 cut,150,25,10,1.100000,2,4.37898e+08,3473.57,0.000137259,9852,2.33207,22622,14816
 cut,150,42,10,1.100000,2,4.08878e+08,3268.6,0.000218609,22121,5.06963,6595,3103
 cut,150,98,10,1.100000,2,4.29406e+08,171.35,0,778,0.103642,5310,0
 cut,150,5,20,1.100000,2,4.04991e+08,3546.71,0.000230808,2455,0.348053,83300,64265
 cut,150,10,20,1.100000,2,4.1434e+08,3542.8,5.98472e-05,4348,0.793308,59100,26590
 cut,150,25,20,1.100000,2,4.37497e+08,3503.34,0.000567894,5040,1.0023,26361,22760
 cut,150,42,20,1.100000,2,4.08337e+08,3450.33,0.000364233,9444,1.76984,14620,10092
 cut,150,98,20,1.100000,2,4.28955e+08,2042.91,0,860,0.119647,65088,0
 cut,150,5,25,1.100000,2,4.0478e+08,3540.42,0.000412771,2598,0.376284,61900,50545
 cut,150,10,25,1.100000,2,4.14037e+08,3521.49,0.000433938,5753,0.960906,35194,28024
 cut,150,25,25,1.100000,2,4.37151e+08,3528,0.000523319,4726,0.823007,29323,23778
 cut,150,42,25,1.100000,2,4.08052e+08,3489.76,0.000792272,8244,1.30941,19605,13073
 cut,150,98,25,1.100000,2,4.28695e+08,3561.32,0.000231858,1012,0.137002,104575,78983
 cut,150,5,40,1.100000,2,4.03683e+08,3535.2,0.00145191,2205,0.288696,40671,29915
 cut,150,10,40,1.100000,2,4.13225e+08,3537.13,0.00143718,2221,0.328309,40400,28795
 cut,150,25,40,1.100000,2,4.36294e+08,3475.05,0.00155877,6082,1.17455,11730,8320
 cut,150,42,40,1.100000,2,4.0713e+08,3532.83,0.00128238,1893,0.257167,35765,28256
 cut,150,98,40,1.100000,2,4.27741e+08,3550.19,0.00116759,1175,0.141109,47400,39209
 cut,150,5,5,1.100000,5,4.05451e+08,109.93,0,1340,0.185685,2621,0
 cut,150,10,5,1.100000,5,4.14691e+08,20.65,0,93,0.0111403,25,0
 cut,150,25,5,1.100000,5,4.37932e+08,320.78,0,3359,0.537137,4898,0
 cut,150,42,5,1.100000,5,4.08838e+08,237.7,0,2529,0.381349,3999,0
