model,|I|,seed,D_c,alpha,|V|,obj,time,gap,SEC,sep,nodes,nodesL
 flow,150,10,20,1.1,2,4.14E+08,3570.24,0.000348345,0,0,17800,16361
 flow,150,25,20,1.1,2,4.37E+08,3564.62,0.00054729,0,0,15600,14693
 flow,150,42,20,1.1,2,4.08E+08,3567.15,0.000478174,0,0,14663,12601
 flow,150,98,20,1.1,2,4.29E+08,3576.04,0.000147421,0,0,44400,36372
 flow,150,5,25,1.1,2,4.05E+08,3568.77,0.000599029,0,0,18080,16504
 flow,150,10,25,1.1,2,4.14E+08,3574.36,0.000529746,0,0,17600,13974
 flow,150,25,25,1.1,2,4.37E+08,3569.17,0.000657109,0,0,17033,11961
 flow,150,42,25,1.1,2,4.08E+08,3559.53,0.000609221,0,0,6665,4988
 flow,150,98,25,1.1,2,4.29E+08,3564.72,0.000510887,0,0,11388,7726
 flow,150,5,40,1.1,2,4.04E+08,3559.49,0.00135987,0,0,6957,5714
 flow,150,10,40,1.1,2,4.13E+08,3551.8,0.00129503,0,0,9255,7926
 flow,150,25,40,1.1,2,4.36E+08,3559.87,0.00136656,0,0,5930,4746
 flow,150,42,40,1.1,2,4.07E+08,3556.89,0.00144869,0,0,6937,3996
 flow,150,98,40,1.1,2,4.28E+08,3557.74,0.00125638,0,0,6965,5749
 flow,150,5,5,1.1,5,4.05E+08,3566.49,0.000183679,0,0,281302,252519
 flow,150,10,5,1.1,5,4.15E+08,47.71,0,0,0,0,0
 flow,150,25,5,1.1,5,4.38E+08,3565.1,0.000262919,0,0,152000,142570
 flow,150,42,5,1.1,5,4.09E+08,3556.5,0.000148869,0,0,291900,258078
 flow,150,98,5,1.1,5,4.29E+08,1485.51,0,0,0,211006,0
 flow,150,5,10,1.1,5,4.05E+08,3560.71,0.000160077,0,0,290300,242406
 flow,150,10,10,1.1,5,4.15E+08,44.12,0,0,0,0,0
 flow,150,25,10,1.1,5,4.38E+08,3561.44,0.000239546,0,0,71100,66851
 flow,150,42,10,1.1,5,4.09E+08,3559.76,0.0001474,0,0,182900,158503
 flow,150,98,10,1.1,5,4.29E+08,349.88,0,0,0,48108,0
 flow,150,5,20,1.1,5,4.05E+08,3556.39,0.000307911,0,0,40980,37603
 flow,150,10,20,1.1,5,4.14E+08,76.65,0,0,0,74,0
 flow,150,25,20,1.1,5,4.37E+08,3553.29,0.000506327,0,0,14262,12923
 flow,150,42,20,1.1,5,4.08E+08,3561.57,0.000333237,0,0,16820,13489
 flow,150,98,20,1.1,5,4.29E+08,1516.62,0,0,0,78310,0
 flow,150,5,25,1.1,5,4.05E+08,3555.77,0.00043371,0,0,24600,20295
 flow,150,10,25,1.1,5,4.14E+08,3463.65,4.65E-06,0,0,112786,6783
 flow,150,25,25,1.1,5,4.37E+08,3433.08,0.000519347,0,0,12157,8874
 flow,150,42,25,1.1,5,4.08E+08,3453.77,0.000526959,0,0,8922,7060
 flow,150,98,25,1.1,5,4.29E+08,3551.31,0.000284605,0,0,22575,18887
 flow,150,5,40,1.1,5,4.03E+08,3550.2,0.0010834,0,0,8814,6998
 flow,150,10,40,1.1,5,4.13E+08,3547.74,0.000714715,0,0,7810,5351
 flow,150,25,40,1.1,5,4.36E+08,3547.88,0.00117277,0,0,4329,3077
 flow,150,42,40,1.1,5,4.07E+08,3561.47,0.00124642,0,0,6039,4599
 flow,150,98,40,1.1,5,4.27E+08,3561.93,0.000635665,0,0,7573,5476
